NUM;RET;REC;EBITDA;EBIT;LAIR;LAOD;LL;FCO
6355;-0.2424;17605;2138;-2243;-8228;-8228;-8228;17885
6356;-0.7292;590681;1627;-3781;-12305;12861;12861;-135645
6357;-0.0639;1201693;18692;17616;11549;10501;10501;-21297
6358;-0.0761;536206;34336;24582;28469;22079;22079;-1840
6359;0.0031;1033561;128564;110393;122370;96689;80112;204394
6360;-0.0439;2027146;346218;218846;-70588;-80477;-82971;-11735
6361;0.3480;10366;6397;3405;1857;1379;1379;-10302
6362;-0.0485;221528;26934;24575;26950;18933;26118;-54139
6363;-0.1156;565159;-44391;-48310;-41631;-71116;-71116;-737526
6364;0.2111;2441484;849137;729878;627479;574935;574935;499922
